Postal Code,Latitude,Longitude
01040,42.20180316,-72.62462916
01453,42.53116079,-71.75598947
01752,42.35023141,-71.55010496
01810,42.65023538,-71.14593929
01841,42.71358499,-71.16827506
01852,42.62609617,-71.29222598
01915,42.56727346,-70.87773547
02038,42.08208788,-71.40099141
02138,42.35367228,-71.1763156
02148,42.42712982,-71.06787466
02149,42.40935377,-71.04162679
02151,42.41759281,-71.00240543
02169,42.2466562,-71.00453955
02740,41.63428408,-70.93207659
02886,41.70648785,-71.46968934
02895,42.00176906,-71.50290803
02908,41.83540592,-71.43719545
02920,41.76930689,-71.46383886
03060,42.74663792,-71.4626346
03301,43.2130862,-71.53317977
03820,43.19142188,-70.87788079
04240,44.09806733,-70.18669439
04401,44.82107814,-68.80224062
05408,44.51012825,-73.24920226
06010,41.68315133,-72.93079898
06040,41.76788448,-72.52599028
06360,41.53631903,-72.08397177
06450,41.53075538,-72.78210681
06457,41.55241227,-72.66583788
06460,41.2123844,-73.05279592
06484,41.30594922,-73.13015482
06708,41.55209012,-73.06501631
06810,41.38910744,-73.45313442
06824,41.16065925,-73.263481
07002,40.66807535,-74.11767472
07011,40.87758463,-74.14172896
07017,40.77023288,-74.20473558
07036,40.63633484,-74.24771084
07050,40.7681259,-74.23388713
07055,40.85859155,-74.12883256
07060,40.61757528,-74.4244809
07090,40.65260211,-74.34342192
07109,40.79474167,-74.16229185
07501,40.91277866,-74.17326701
07601,40.88417448,-74.04589478
07960,40.79615829,-74.48483168
08302,39.44127249,-75.23591688
08360,39.48705673,-75.02109305
08401,39.36694931,-74.44876644
08701,40.07467345,-74.21217323
08861,40.51953761,-74.27674909
08901,40.48880266,-74.44575036
10009,40.72585914,-73.98080883
10011,40.74095609,-73.99956642
10024,40.78624166,-73.97569076
10035,40.79434821,-73.94171573
10550,40.90760044,-73.83626203
10701,40.94339627,-73.88597832
10801,40.91657055,-73.78649899
11520,40.65189771,-73.58588554
11550,40.70440696,-73.61897098
11561,40.58727664,-73.66191764
11572,40.63547735,-73.63831049
11757,40.68848331,-73.373732
12180,42.72888793,-73.66254782
13021,42.92718792,-76.56222499
13440,43.22274367,-75.45122455
13501,43.08564574,-75.23291594
13601,43.97634303,-75.90996418
14215,42.93372838,-78.81088862
14304,43.09109964,-78.96110281
14609,43.17348625,-77.56240538
14701,42.09421094,-79.24439497
16602,40.50435064,-78.38704661
17403,39.93193273,-76.71017767
17602,40.03090811,-76.26093407
18018,40.626092,-75.39053723
18103,40.58490826,-75.46886419
19013,39.84861458,-75.37268674
19120,40.02896143,-75.12151819
19134,39.99263715,-75.11180774
19140,40.00940681,-75.14602461
19143,39.943317,-75.22327042
19601,40.3499824,-75.93918719
19711,39.69868601,-75.74182196
19805,39.74229501,-75.58845839
19901,39.15546441,-75.51992319
20016,38.93942614,-77.08715977
20707,39.10315893,-76.88512114
20735,38.75487984,-76.89984789
20852,39.03517628,-77.12412094
20877,39.13920694,-77.19161544
21044,39.21268059,-76.88503429
21215,39.3438784,-76.67888574
21740,39.63400689,-77.73424237
22153,38.74788291,-77.24018431
22204,38.86092746,-77.0923398
